appendix;page;row_num;plot_num_plan;cadastral_number;storeys;address;area_cadastral_m2;area_preliminary_m2;area_use_right_m2;area_withdrawal_m2;land_category;land_use_type;notes;restrictions;easement_area_m2;compensation_sum
3;47;24;24;90:11:130701:2451;Частная;Республика Крым, Сакский р-н, Лесновский с/с;625.0;625.0;625.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;47;25;25;90:11:130701:2452;Частная;Республика Крым, Сакский р-н, Лесновский с/с;625.0;625.0;625.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;47;26;26;90:11:130701:2453;Частная;Республика Крым, Сакский р-н, Лесновский с/с;625.0;625.0;625.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;47;27;27;90:11:130701:25;Частная;Республика Крым, Сакский район, село Прибрежное, улица Дачная, 168;1000.0;1000.0;1000.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;90:11:130701:2193 Жилой дом;64.4;Частная
3;47;28;28;90:11:130701:2570;Частная;Республика Крым, Сакский район, Лесновский сельский совет, за границами населённого пункта;400.0;400.0;400.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;47;29;29;90:11:130701:2571;Частная;Республика Крым, Сакский район, Лесновский сельский совет, за границами населённого пункта;400.0;400.0;400.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;47;30;30;90:11:130701:2572;Частная;Республика Крым, Сакский район, Лесновский сельский совет, за границами населённого пункта;400.0;400.0;400.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;47;31;31;90:11:130701:2573;Частная;Республика Крым, Сакский район, Лесновский сельский совет, за границами населённого пункта;400.0;400.0;400.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;47;32;32;90:11:130701:2581;Частная;Республика Крым, Сакский район, Лесновский сельский совет, за границами населённого пункта;400.0;400.0;400.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;47;33;33;90:11:130701:2588;Частная;Республика Крым, Сакский район, Лесновский сельский совет, за границами населённого пункта;400.0;400.0;400.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
3;47;34;34;90:11:130701:2589;Частная;Республика Крым, Сакский район, Лесновский сельский совет, за границами населённого пункта;400.0;400.0;400.0;;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;;;;
